序号,Phase,名称,详情锚点,前置任务,验证命令,状态,备注
1,P0:基线与勘察,搭建冒烟插件包并验证 DSH 加载链路,spec.md#task-1,无,dsh web 启动后 console 出现冒烟插件日志;iframe 注入可见 docs 页面,已完成,
2,P0:基线与勘察,建立 genoffice 基线回归快照,spec.md#task-2,无,node web/smoke-test.mjs 等 6 脚本 → 全绿,已完成,
3,P0:基线与勘察,执行 Phase 0 回归验证,spec.md#task-3,1;2,冒烟面板可见 + e2e-url-open 全绿 + console 无新增 error,已完成,
4,P1:relay 配套,实现 relay 列目录 API /api/dir,spec.md#task-4,2,curl /api/dir 三态（正常/缺失/禁用）符合 BR-004/BR-005,已完成,
5,P1:relay 配套,实现 relay CORS（loopback 白名单）,spec.md#task-5,4,curl -i -H Origin:3080 含 ACAO 回显头;evil.com 无头,已完成,
6,P1:relay 配套,relay 配套回归,spec.md#task-6,4;5,e2e-url-open 全绿 + 既有端点结构不变 + 禁用分支文案不变,已完成,
7,P1:relay 配套,执行 Phase 1 回归验证,spec.md#task-7,6,Task 6 全绿 + /api/dir 三态复跑一致,已完成,
8,P2:插件骨架,搭建 dsh-plugin 正式包结构,spec.md#task-8,1,cd dsh-plugin && npm run typecheck/build 通过,已完成,
9,P2:插件骨架,实现 TabsRoot 并替换 sidebar 注册者,spec.md#task-9,8,dsh web 后选项卡栏出现且官方工作区列表可用,已完成,
10,P2:插件骨架,实现激活 tab store 与折叠恢复,spec.md#task-10,9,browser: 切 GenOffice→折叠→展开仍为 GenOffice,已完成,
11,P2:插件骨架,执行 Phase 2 回归验证,spec.md#task-11,9;10,官方工作区/设置逐项可用 + 四 tab 可达 + console 无错,已完成,
12,P3:GenOffice tab,实现 GenOffice 文件列表面板,spec.md#task-12,7;11,browser: 主目录/进入/上级/类型过滤/错误重试全通,已完成,
13,P3:GenOffice tab,实现 iframe 预览（只读）,spec.md#task-13,12,iframe 渲染 simple.docx;shasum 前后一致,已完成,
14,P3:GenOffice tab,实现「在浏览器中打开」按钮,spec.md#task-14,13,新标签打开完整编辑器;拦截提示出现,已完成,
15,P3:GenOffice tab,执行 Phase 3 回归验证,spec.md#task-15,12;13;14,预览三环节全分支通过 + smoke-test 全绿,已完成,
16,P4:文件 tab,实现文件管理面板（host.listDirectory）,spec.md#task-16,11,browser: /tmp 进入/上级/主目录/错误态保留列表,已完成,
17,P4:文件 tab,执行 Phase 4 回归验证,spec.md#task-17,16,文件浏览全分支 + 工作区 tab 不受影响,已完成,
18,P5:终端 tab,实现 host 侧 pty WebSocket 端点,spec.md#task-18,8,ws 直连 echo hello 收到 output;ps 无残留,已完成,
19,P5:终端 tab,实现 client 终端面板（xterm.js）,spec.md#task-19,18,browser: 提示符/echo/Ctrl+C/切 tab 销毁,已完成,
20,P5:终端 tab,执行 Phase 5 回归验证,spec.md#task-20,18;19,终端全分支 + ps 无残留 + console 无错,已完成,
21,P6:集成验收,profile 最终集成与安装固化,spec.md#task-21,11;15;17;20,全新安装一次成功;回退后官方侧边栏原样恢复,已完成,
22,P6:集成验收,执行 spec 5.2 真实场景全套测试,spec.md#task-22,21,5.2 执行矩阵 13 行全部通过且 evidence 齐全,已完成,
23,P6:集成验收,全量回归与 evidence 收尾,spec.md#task-23,22,6 e2e 全绿 + 官方功能回归 + EVD 清单核对,已完成,
